"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
1,"did vote",2,2,2,3,1
2,"did vote",2,1,2,2,NA
5,"did vote",4,1,1,2,4
6,"did vote",1,2,1,3,4
7,"did vote",3,3,2,3,2
8,"did vote",2,3,1,3,4
9,"did vote",1,1,1,2,5
10,"did vote",1,1,2,1,5
11,"did vote",1,1,1,3,3
12,"did vote",1,1,1,1,3
14,"did vote",1,1,1,1,4
15,"did vote",1,1,2,4,2
16,"did vote",2,1,1,1,2
17,"did vote",2,4,4,2,2
18,"did vote",2,2,1,2,3
19,"did vote",3,2,1,2,3
20,"did vote",3,3,2,3,2
21,"did vote",2,3,3,2,2
22,"did vote",4,2,1,2,3
23,"did vote",3,2,1,3,3
25,"did vote",3,1,4,4,1
26,"did vote",2,3,2,2,3
28,"did vote",3,2,2,2,5
29,"did vote",1,1,1,2,1
31,"did vote",2,1,5,2,2
32,"did vote",1,1,1,2,5
33,"did vote",1,1,1,1,2
34,"did vote",1,1,1,3,3
35,"did vote",2,1,1,2,1
36,"did vote",5,4,5,2,3
37,"did vote",1,1,2,3,3
38,"did vote",2,3,3,3,2
39,"did vote",1,1,2,2,2
40,"did vote",2,1,1,2,3
42,"did vote",1,1,1,2,5
43,"did not vote",1,4,3,3,5
44,"did vote",1,1,2,2,3
45,"did vote",1,3,4,3,5
46,"did vote",1,1,1,2,2
47,"did vote",2,2,2,4,1
49,"did vote",2,1,1,1,3
50,"did vote",2,2,2,3,3
51,"did vote",1,1,1,2,5
52,"did vote",1,1,1,2,5
53,"did vote",1,1,1,3,2
54,"did vote",2,3,4,2,4
55,"did vote",1,2,1,1,2
56,"did vote",4,2,3,3,3
58,"did vote",1,1,3,3,2
59,"did vote",1,1,1,1,3
60,"did vote",1,1,1,2,3
61,"did vote",1,1,1,2,3
62,NA,1,1,2,2,5
64,"did vote",4,2,1,3,2
67,"did vote",1,2,2,2,5
68,"did vote",2,1,1,2,5
69,"did vote",1,2,1,2,5
70,"did vote",1,1,1,1,5
71,"did vote",3,1,1,2,2
72,"did vote",1,1,1,2,2
73,"did vote",1,1,1,2,4
75,"did vote",3,1,1,2,4
76,"did vote",2,2,2,2,4
77,"did vote",2,2,2,2,4
78,"did vote",1,2,1,2,5
79,"did vote",3,2,4,4,2
80,"did vote",2,2,3,4,2
81,"did vote",1,1,1,1,3
82,"did vote",1,1,1,2,5
83,"did vote",4,1,2,2,5
84,"did vote",3,4,4,2,1
86,"did vote",2,2,1,2,2
87,"did vote",1,1,1,2,3
88,"did vote",1,1,1,2,4
89,"did vote",1,2,1,2,3
90,"did vote",2,4,2,3,2
91,"did vote",1,1,1,3,1
92,"did vote",4,2,2,3,5
93,"did vote",2,2,3,2,3
94,NA,3,1,2,2,3
95,"did vote",1,1,1,2,4
96,"did vote",3,4,4,4,2
97,"did vote",1,1,1,3,3
98,"did vote",1,1,1,5,1
99,"did vote",1,1,1,3,3
100,"did vote",2,1,1,2,4
